hg38.kgXref.geneSymbol,21423L,21424B,21424L,21562L,22288B,22316B
A1BG,7.65873301158979,2.61740455274953,7.46534645852793,8.07001576431919,1.49332659504534,2.29614266624655
A1CF,7.30082785091002,2.13958677008392,6.49988743348464,6.90379180692413,-1.53923318568508,-2.13689632027938
A2M,10.0759427453131,4.41734098891545,9.20055378698441,9.61205875585072,4.5049411583042,3.57429497654503
A2ML1,-3.83955439951706,0.0550499066674335,-0.442826229769521,-0.18054268557402,-2.41528861393581,-2.10787475655511
A2MP1,-6.07401964352285,-6.07401964352285,-2.31758886750844,-5.3084087703608,-2.33228123329924,-1.58367609873309
A3GALT2,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285,-5.57568309983364,-6.07401964352285
A4GALT,4.10470415465937,-1.10428434683731,0.180206348467407,4.34702262285485,0.518114016874803,-1.83560316596606
AAAS,5.42000070400074,5.79165445315322,6.11000175346589,5.64174040916122,5.03821692737751,5.4945413740221
AACS,5.1012577040856,5.1389776907924,4.75020482704447,4.83175829730808,5.1344228433555,5.28703123859583
AACSP1,0.23394081060573,0.404852775199468,-5.2403983991121,0.394110984442695,-2.92933349637961,-2.29146576228701
AADAC,6.92533587194749,0.116411459514238,5.4477414608324,5.40503472643779,-2.16445272546334,-2.99164410872424
AADACL2,-0.99955364491198,-5.84051810726056,-6.07401964352285,-6.07401964352285,-6.07401964352285,-6.07401964352285
AADACL3,-4.91453475895966,-4.61099902439148,-4.71545115102189,0.70095060025449,-6.07401964352285,-2.10787475655511
AADACP1,1.38701994436948,-5.63959697292116,-0.835187180089791,2.46260623597202,-5.20599055968465,-1.34486048557896
AADAT,3.98752266417753,4.01523794263226,3.93563077498987,2.83504628921524,4.31293205479936,3.94452103658282
AAGAB,4.52001394135601,4.63131776910863,5.25987527911579,4.53469775804613,4.78008862576082,4.18509862872696
AAK1,4.63973791002586,5.94037931270045,4.53591471118018,4.65500433138446,6.16538504976421,5.75957108588127
AAMDC,4.26801085205919,2.01068400897791,4.03970930242909,3.98896520364689,1.94955857285609,1.50035796751489
AAMP,6.66676300028483,6.02781702772088,6.50432368845661,5.80804301408068,5.81135581500303,6.05503771087962
AANAT,0.269307807233633,-0.32701760032153,-6.07401964352285,-4.8108773925759,-5.54519629340172,-6.07401964352285
AAR2,4.37856551324008,4.43935744572898,4.19874663205973,4.39569387646117,4.78490444072914,4.83969744870278
AARD,0.302050907665829,1.78391381838918,-0.167497828128252,-1.31709476324666,-0.290264482688657,-4.26985425790791
AARS,6.62588321346106,5.83522624445972,6.80967431756324,5.62816444652327,6.29579872928454,6.25069976692981
AARS2,2.61676661194439,3.54943095051202,2.63240856692775,2.15048277462902,3.75277083215234,3.31365265811934
AARSD1,5.70984612420618,4.93722052462274,5.32052638679016,5.11287415158259,5.03663071236369,5.22564716453866
AASDH,3.35010519501028,3.57996867331197,3.33185418377258,4.03037102301064,3.68794800273053,3.61458020594037
AASDHPPT,5.81862399075362,7.45651253472745,5.87935275145596,5.78103412661078,7.60141063665293,7.60337170195245
AASS,5.11403369145888,4.039062615092,4.70965802377298,4.56719988037765,3.73510509058417,3.77908559536246
